Studio,Date,Headcount,Parent,Type,Source
Bioware Games,2023-08-23,50,Electronic Arts,Console,https://blog.bioware.com/2023/08/23/an-update-on-the-state-of-bioware/
Vela Games,2023-08-21,45,,Online,https://evercoreheroes.com/news/important_update_ech
Imagendary Studios,2023-08-11,55,FunPlus,Console,LinkedIn
Campfire Cabal,2023-08-08,18,Embracer Group,Console,https://www.gamesindustry.biz/embracer-shuts-down-campfire-cabal
Action Squad Studios,2023-08-04,14,,Indie,Direct
Striking Distance Studios,2023-07-31,32,Krafton,Console,https://www.ign.com/articles/the-callisto-protocol-former-striking-distance-developers-say-key-folks-were-left-out-of-credits
Popcore,2023-07-31,,Take-Two Interactive,Mobile,https://mobilegamer.biz/layoffs-hit-take-two-zynga-owned-hypercasual-firm-popcore/
CD Projekt Red,2023-07-26,100,CD Projekt,Console,https://www.cdprojekt.com/en/media/news/cd-projekt-red-organizational-update/
Double Stallion Games,2023-07-20,10,,Indie,LinkedIn
Activision Blizzard,2023-07-19,50,Activision Blizzard King,Publisher,https://www.theverge.com/2023/7/19/23799550/activision-blizzard-esports-layoffs-overwatch-league-owl
Product Madness,2023-07-11,25,Aristocrat Games,Online,
Adglobe Montreal,2023-07-06,29,Skeleton Crew,AR/VR,LinkedIn
A Thinking Ape,2023-07-01,5,Embracer Group,Mobile,
TavroxGames,2023-07-01,4,,Indie,Direct
Harebrained Schemes,2023-07-01,40,Paradox Interactive,Indie,LinkedIn
TakeOne Company,2023-06-30,50,,Mobile,https://www.yna.co.kr/view/AKR20231228081200017section=industry/game
JumpStart Games,2023-06-30,60,NetDragon WebSoft,Online,https://www.jellyneo.net/comments=14351
Puny Human,2023-06-30,14,,Indie,https://punyhuman.com/closure/
Daedalic Entertainment,2023-06-30,25,Nacon,Console,https://www.gamesindustry.biz/daedalic-halting-internal-game-dev-laying-off-25-employees
Ludia,2023-06-29,45,Jam City,Mobile,"LinkedIn , https://www.pocketgamer.biz/news/81855/possible-ludia-layoffs-in-progress-as-former-employees-solicit-new-roles/"
Niantic,2023-06-29,230,,AR,https://www.gamedeveloper.com/business/niantic-cancels-projects-closes-la-office-to-prioritize-pok-mon-go
Elodie Games,2023-06-28,15,,Online,LinkedIn
HiRez Ventures,2023-06-27,30,,Online,https://www.gamedeveloper.com/business/hi-rez-studios-restructure-leads-to-consolidations-and-layoffs
Wildseed Games,2023-06-23,15,,Online,LinkedIn
Scavenger Studios,2023-06-21,20,,Indie,https://www.gamesindustry.biz/report-over-half-of-scavengers-studio-laid-off
Bilibili Guangzhou Xinyuan,2023-06-16,220,Bilibili,Online,https://www.superpixel.com/article/578361/bilibilis-xinyuan-studio-implements-mass-layoffs-discontinues-projects
Wildlife Studios,2023-06-15,143,,Mobile,https://www.bloomberglinea.com/english/game-over-for-wildlifes-ceo-as-brazilian-unicorn-restructures-cuts-13-of-staff/
probablyMonsters,2023-06-15,35,,Online,"LinkedIn , Direct"
Kiloo Games,2023-06-14,55,,Mobile,https://www.gamesindustry.biz/kiloo-games-shutting-down
Hellbent Games,2023-06-12,40,,Indie,Direct
The Game Band,2023-06-03,15,,Console,https://thegameband.medium.com/many-teams-one-goodbye-thank-you-for-playing-blaseball-2a5ecec378f7
Firemonkeys,2023-06-01,45,Electronic Arts,Mobile,https://www.gamedeveloper.com/business/report-ea-cutting-jobs-and-cancelling-games-at-australian-studio-firemonkeys
BonusXP,2023-06-01,48,Netflix,Console,https://www.gamedeveloper.com/business/-i-stranger-things-3-i-game-developer-bonusxp-to-close-down
Vanpool,2023-05-31,,,Console,https://www.gamedeveloper.com/business/kirby-support-developer-vanpool-has-shut-down
Firaxis Games,2023-05-30,30,Take-Two Interactive,Console,https://www.axios.com/2023/05/31/firaxis-layoffs
PlayStation San Diego,2023-05-26,,Sony,Console,
Antimatter Games,2023-05-25,53,Enad Global 7,Console,https://www.enadglobal7.com/mfn_news/enad-global-7-initiates-the-process-to-wind-down-antimatter-games-in-the-uk/
Kabam,2023-05-24,90,Netmarble,Mobile,Twitter
Plucky Bytes,2023-05-23,,Embracer Group,Console,Twitter
Relic Games,2023-05-23,121,SEGA,Console,https://www.gamesindustry.biz/sega-announces-121-redundancies-at-relic-entertainment
Resolution Games,2023-05-22,70,,AR/VR,Direct
Deck Nine Games,2023-05-19,30,,Console,https://gameworldobserver.com/2023/05/23/deck-nine-games-layoffs-team-leads-life-is-strange
Brace Yourself Games,2023-05-18,21,,Console,https://www.gamedeveloper.com/business/report-brace-yourself-games-lays-off-half-its-staff
Whitethorn Games,2023-05-17,8,,Publsiher,Direct
Deviation Games,2023-05-12,90,,Console,https://www.ign.com/articles/studio-working-on-secret-playstation-game-hit-by-layoffs-as-sony-reevaluates-portfolio
The Molasses Flood,2023-05-11,29,CD Projekt,Console,https://www.gamesindustry.biz/cd-projekt-lays-off-29-staff-at-the-molasses-flood
Ubisoft,2023-05-10,60,,Publisher,https://www.eurogamer.net/ubisoft-customer-service-layoffs-see-up-to-60-lose-jobs
Final Strike Games,2023-05-09,30,,Console,https://www.vgchartz.com/article/457138/rumor-sony-cancels-final-strike-games-unannounced-sci-fi-shooter-studio-lays-off-40-of-staff/
Unity Technologies,2023-05-02,600,Unity,Online,https://www.wsj.com/articles/unity-conducts-its-third-and-largest-round-of-layoffs-in-a-year-48fdafe1
PlayStudios,2023-05-01,,,Mobile,
Crey Games,2023-05-01,60,,Online,
We're Five Games,2023-05-01,14,tinyBuild,Console,Direct
PixelOpus,2023-05-01,20,Sony Entertainment,Console,https://www.gamesindustry.biz/sony-shutting-down-pixelopus
ARRIVANT,2023-04-25,,,Online,LinkedIn
Phoenix Labs,2023-04-25,30,,Online,https://www.gamesindustry.biz/phoenix-labs-cuts-staff
Ten Square Games,2023-04-21,105,,Mobile,"https://tensquaregames.com/report/current-report-no-12-2023/ , Direct"
Ready at Dawn,2023-04-20,30,Meta,VR,Twitter
Downpour Interactive,2023-04-20,,Meta,VR,https://www.gamedeveloper.com/business/ready-at-dawn-and-downpour-interactive-impacted-by-meta-layoffs
CyberConnect2 Montreal,2023-04-17,55,CyberConnect2,Console,https://www.gamesindustry.biz/cyberconnect2-to-shutter-montreal-studio
Innogames,2023-04-14,75,,Mobile,https://www.gamesindustry.biz/innogames-lays-off-75-staff
Bungie,2023-04-14,,Sony Entertainment,Console,Twitter
Paradox Games,2023-04-04,36,Paradox Interactive,Indie,https://www.gamedeveloper.com/business/paradox-closing-ume-and-malm-studios-to-veer-away-from-decentralized-development
Counterplay Games,2023-04-04,,,Indie,
Amazon Game Studios,2023-04-04,100,Amazon,Publisher,https://www.bloomberg.com/news/articles/2023-04-04/amazon-lays-off-about-100-employees-in-its-gaming-divisions
LINE games,2023-03-30,30,Naver,Online,https://www.yna.co.kr/view/AKR20230330165100017section=industry/game
Electronic Arts,2023-03-30,775,,Publisher,https://www.gamesindustry.biz/ea-restructuring-laying-off-6-of-workforce
Twitch,2023-03-20,400,Amazon,Online,https://techcrunch.com/2023/03/20/twitch-says-it-will-lay-off-400-employees/
Team17,2023-03-17,,,Publisher,https://www.eurogamer.net/layoffs-reported-at-worms-maker-team17
Private Division,2023-03-07,,Take-Two Interactive,Publisher,https://www.eurogamer.net/take-two-confirms-layoffs-reported-to-affect-private-division-and-more
GameLoft Budapest,2023-03-01,100,GameLoft,Mobile,https://www.pocketgamer.biz/news/81028/gameloft-shutters-budapest-studio-amid-shift-away-from-mobile/
EA Baton Rouge,2023-02-28,200,Electronic Arts,Publisher,https://www.businessreport.com/business/tech-layoffs-hit-baton-rouge-with-electronic-arts-announcement
PUBG Santa Monica,2023-02-24,5,Krafton,Online,Twitter
Survios,2023-02-13,35,,VR,LinkedIn
Big Run Studios,2023-02-02,25,,Mobile,LinkedIn
Nexon Games West,2023-02-02,80,,Online,https://venturebeat.com/games/ncsoft-west-lays-off-20-of-its-staff-and-ceo-departs/
Hyper Hippo Entertainment,2023-02-01,10,,Mobile,Direct
Mutant Arm Studios,2023-02-01,31,,Indie,LinkedIn
Respawn Entertainment,2023-01-31,,Electronic Arts,Mobile,
EA Industrial Toys,2023-01-31,150,Electronic Arts,Mobile,https://venturebeat.com/games/ea-cancels-apex-legends-and-battlefield-mobile-games-shutters-industrial-toys-studio/
Wicked Realm Games,2023-01-30,60,Tilting Point,Mobile,https://www.pocketgamer.biz/news/80753/tilting-point-lays-of-14-of-its-workforce
Hidden Leaf Games,2023-01-25,30,,Indie,LinkedIn
HiRez Games,2023-01-19,,,Online,LinkedIn
Riot Games,2023-01-19,46,Tencent,Online,https://www.gamesindustry.biz/riot-games-lays-off-46-staff-as-part-of-strategic-shifts
Bethesda Games,2023-01-19,,Microsoft,Console,
The Coalition,2023-01-19,,Microsoft,Console,
343 Studios,2023-01-19,95,Microsoft,Console,https://www.gamesindustry.biz/343-layoffs-affected-95-including-top-directors
Unity Technologies,2023-01-17,300,Unity,Tech,https://www.gamesindustry.biz/unity-lays-off-nearly-300
Wizards of the Coast,2023-01-03,15,,Console,https://www.bloomberg.com/news/articles/2023-01-03/hasbro-s-wizards-of-the-coast-cancels-video-game-projects
PlayTika,2022-12-22,600,PlayTika,Mobile,https://techcrunch.com/2022/12/12/playtika-lays-off-610-workers-shuts-down-three-online-gaming-titles-amid-broader-restructure/
Gamigo,2022-12-21,50,Media and  Games Invest,Online,"https://mmos.com/news/gamigo-layoffs-dec-2022, https://press.mgi.group/media-and-games-invest-se-strong-q4-2022-16-total-and-13-organic-revenue-growth-34-adj-ebitda-margin-net-leverage-reduced-to-29x-one-off-amortization-of-non-core-games-assets-and-eg7-sale"
Age of Learning Inc,2022-12-08,128,ABC Mouse,Online,https://www.bizjournals.com/losangeles/news/2022/12/08/age-of-learning-plans-layoff.html
Spokko Studio,2022-12-06,,CD Project,Mobile,https://www.ign.com/articles/the-witcher-monster-slayer-is-shutting-down-in-2023-with-lay-offs-expected
Wildlife Studios,2022-11-29,300,,Mobile,https://www.pocketgamer.biz/news/80308/wildlife-lays-off-almost-300-staff-in-brazil-and-argentina/
Lilith Games,2022-11-19,,,Publisher,https://www.superpixel.com/article/298017/lilith-games-lays-off-whole-art-conquest-2-development-team
Amazon Luna,2022-11-17,,Amazon,Publisher,https://www.tweaktown.com/news/89552/amazon-luna-hit-with-major-layoffs-will-it-follow-stadias-demise/index.html
Tencent IEG,2022-11-15,,Tencent,Online,https://www.reuters.com/technology/chinas-tencent-starts-new-round-layoffs-sources-2022-11-15/
Kabam,2022-11-10,35,,Mobile,https://www.pocketgamer.biz/job-news/80149/approximately-7-of-employees-laid-off-from-kabam-after-reviewing-strategic-priorities/
WIIMO Games,2022-11-02,,,Mobile,Twitter
Studio Onoma,2022-11-02,200,Embracer Group,Mobile,https://www.pocketgamer.biz/news/79780/mighty-kingdom-announces-cost-reduction-plans-including-staff-layoffs/
Xbox,2022-10-18,500,Microsoft,Publisher,https://www.gamespot.com/articles/microsoft-has-laid-off-around-1000-of-its-employees/1100-6508365/
Playdots,2022-10-14,64,Take-Two Interactive,Mobile,https://www.gamesindustry.biz/two-two-shutting-down-playdots
Mighty Kingdom,2022-09-28,,,Indie,https://www.pocketgamer.biz/news/79780/mighty-kingdom-announces-cost-reduction-plans-including-staff-layoffs/
Booyah!,2022-09-22,35,Sea Ltd.,Online,https://www.reuters.com/markets/asia/singapores-sea-cuts-some-garena-unit-jobs-shuts-projects-sources-say-2022-09-01/
Garena,2022-09-09,700,Sea Ltd.,Online,https://www.reuters.com/business/retail-consumer/exclusive-seas-shopee-shuts-operations-argentina-chile-colombia-mexico-sources-2022-09-08/
Wushuang Studio,2022-09-06,,ByteDance,Mobile,https://www.scmp.com/tech/big-tech/article/3191458/china-gaming-crackdown-bytedance-cuts-hundreds-jobs-its-video-game
Lockwood Publishing,2022-09-02,34,,Publisher,https://www.gamesindustry.biz/lockwood-publishing-to-fire-15-of-its-workforce
Mino Games,2022-08-26,,,Mobile,LinkedIn
Ludia,2022-08-24,200,Jam City,Mobile,https://venturebeat.com/games/jam-city-lays-off-hundreds-of-staff-as-part-of-restructuring/
Uken Games,2022-08-01,,,Mobile,
37 Mobile Games,2022-07-29,130,Sanqi Interactive Entertainment,Mobile,GameLook
Netease Spark Studio,2022-07-14,,Netease,,https://www.superpixel.com/article/142982/chinas-major-game-development-companies-are-laying-off-employees-shutting-down-projects
LineKong Interactive,2022-07-01,50,,Online,
Archosaur Games,2022-06-30,304,Zulong Entertainment,Mobile,"https://webb-site.com/dbpub/docs.aspp=24384240 , https://finance.sina.cn/tech/2023-04-15/detail-imyqmpwr2583838.d.html"
Unity Technologies,2022-06-30,150,Unity,Tech,https://www.pocketgamer.biz/news/79100/unity-lays-off-4-percent-workforce-resourcing-levels-company-priorities/
IGG,2022-06-30,598,IGG,Mobiel,"https://finance.sina.cn/tech/2023-04-15/detail-imyqmpwr2583838.d.html , IGG 2022 Financial report"
Niantic,2022-06-30,90,,Mobile,https://www.pocketgamer.biz/news/79097/niantic-lays-off-8-workforce-it-cancels-four-projects/
Intellivision,2022-06-28,,,Tech,https://www.gamesindustry.biz/intellivision-turns-to-layoffs-and-licensing-deals-as-it-struggles-to-fund-troubled-amico
101 Studio,2022-06-28,150,ByteDance,Mobile,https://www.bloomberg.com/news/articles/2022-06-17/bytedance-disbands-shanghai-games-studio-in-expansion-setback
Adjust,2022-06-27,,App Lovin,Mobile,https://www.adexchanger.com/mobile/adjust-and-applovin-lay-off-12-of-their-workforce-amid-economic-downturn/
Friday's Games,2022-06-21,50,,Mobile,https://www.facebook.com/natalya.popova.16/posts/5603629389649427
Game Insight,2022-06-15,600,,Mobile,https://app2top.ru/industry/game-insight-ushla-na-samolikvidatsiyu-raboty-lishilis-do-600-spetsialistov-199488.html
Plarium Krasnador,2022-06-15,500,Plarium,Mobile,https://gameworldobserver.com/2022/06/21/up-to-2500-russian-devs-lost-jobs-over-last-month-following-mass-layoffs-at-top-game-studios
101XP,2022-06-02,,,Online,https://app2top.ru/news/neofitsial-no-v-101xp-prohodyat-masshtabny-e-sokrashheniya-199179.html
PlayTika,2022-06-01,250,PlayTika,Mobile,https://www.pocketgamer.biz/news/78912/playtika-lay-off-250-employees-closes-three-development-studios/
Penguin Esports,2022-06-01,,Tencent,Online,https://techcrunch.com/2022/04/07/tencent-to-shut-down-its-game-streaming-service/
Hangar 13,2022-05-26,87,Take-Two Interactive,Console,https://www.gamesindustry.biz/mafia-3-developer-hangar-13-suffers-another-round-of-layoffs
Tencent IEG,2022-05-25,50,Tencent,Publisher,"http://www.gamelook.com.cn/2022/06/487107, https://asia.nikkei.com/Spotlight/Caixin/Tencent-fires-gaming-and-fintech-staff-in-wake-of-miserable-Q1"
MPL,2022-05-22,100,,Mobile,https://inc42.com/buzz/gaming-unicorn-mpl-lay-off-100-employees-shutdown-indonesia-business/
Electronic Arts,2022-05-18,200,Electronic Arts,Publisher,https://kotaku.com/ea-layoffs-fifa-22-ea-sports-fc-microtransactions-profi-1848945221
Wargaming Minsk,2022-04-04,,Wargaming,Publisher,https://www.gamesindustry.biz/wargaming-to-leave-russia-and-belarus
PlayStation,2022-04-01,93,Sony,Publisher,https://www.videogameschronicle.com/news/playstation-has-laid-off-over-90-north-american-workers/
Gamingo,2022-03-28,,Media and Games Invest,Publisher,https://massivelyop.com/2022/03/28/gamigo-has-suffered-yet-another-round-of-layoffs-including-some-rift-and-trove-staff/
Funomena,2022-03-22,50,,Indie,https://www.fanbyte.com/legacy/the-hopeful-beginning-and-abrupt-shuttering-of-funomena
Playgendary Minsk,2022-02-01,200,Playgendary,Mobile,https://devby.io/news/playgendary-uvolnenie
Perfect  World Games,2022-01-27,1000,Perfect World Co. Ltd.,Publisher,https://pandaily.com/game-giant-perfect-world-to-lay-off-up-to-1000-employees/
Heartbeat Network,2022-01-15,600,,Publisher,https://finance.sina.cn/tech/2023-04-15/detail-imyqmpwr2583838.d.html
Baidu MEG,2021-12-22,,Baidu,Online,https://www.superpixel.com/article/19696/baidu-rumored-have-its-entire-game-division-sacked-despite-having-just-announced-series-games-development-this-august
Might and Delight,2021-12-21,25,,Indie,https://www.mmorpg.com/news/might-and-delight-down-to-10-developers-after-layoffs-book-of-travels-development-to-continue-slowly-2000123927
Lockwood Publishing,2021-12-09,20,,Publisher,https://www.gamedeveloper.com/business/avakin-life-developer-lockwood-publishing-accused-of-unlawful-layoffs
Tanwan Games,2021-11-28,,,Online,https://finance.sina.com.cn/tech/2021-11-25/doc-ikyamrmy5058272.shtml
Nintendo,2021-11-01,,,Publisher,https://www.pocketgamer.biz/news/77453/nintendo-closing-offices-in-california-and-toronto/
Ohayoo,2021-10-20,100,ByteDance,Online,https://www.scmp.com/tech/big-tech/article/3153335/bytedance-gaming-studio-lays-dozens-employees-amid-beijings-gaming
Cryptic Studios,2021-07-01,45,Perfect World Co. Ltd.,Online,https://mmos.com/news/magic-legends-shutting-down-in-october-cryptic-employees-laid-off-following-announcement
Bandai Namco,2021-04-20,90,,Publisher,https://www.gamespot.com/articles/bandai-namco-is-closing-its-santa-clara-office-and-moving-to-southern-california/1100-6490410/
Activision Blizzard,2021-03-15,50,Activision Blizzard King,Publisher,https://www.shacknews.com/article/123309/activision-blizzard-hits-esports-division-with-over-50-layoffs
Hardsuit Labs,2021-03-01,,,Console,https://www.ign.com/articles/hardsuit-labs-undergoes-layoffs-after-vampire-the-masquerade-bloodlines-2-delay
22 Cans,2021-02-16,,,Indie,https://www.gamesindustry.biz/peter-molyneuxs-studio-22cans-suffers-layoffs
Stadia Games,2021-02-01,150,Google,Online,https://www.businessinsider.com/google-gaming-layoffs-blindsided-staff-2021-2
Big Huge Games,2021-01-15,32,Nexon,Mobile,https://technical.ly/startups/big-huge-games-layoffs/
DoubleDown Interactive,2021-01-08,55,,Mobile,https://www.geekwire.com/2021/doubledown-interactive-lays-off-55-employees-seattle-office-following-delayed-ipo/
Rovio Montreal,2023-12-05,16,Sega,Console,https://www.pocketgamer.biz/news/83001/rovio-close-studio-lumi-in-montreal-with-the-loss-of-16-jobs/